"For each entity set in the E-R diagram we create a relation (table) in which there are n columns related to the attributes defined for that set.";"B. n"
"The base of the binary number system is _____.";"A. 2"
"The base of the octal number system is _____.";"B. 8"
"The base of the hexadecimal number system is _____.";"D. 16"
"A byte consists of _____ bits.";"C. 8"
"A control unit with five wires can define up to _____ operations.";"D. 32"
"The maximum value of an octal integer with K=2 digits is Nmax = __________?";"A. 63"
"The maximum value of a binary integer with K digits. For example, if K = 5, then the maximum value is _____?";"B. 31"
"EBCDIC can code up to how many different characters?";"E. 256"
"What is the number of bit patterns provided by a 7-bit code?";"B. 128"
"If the memory address space is 16 MB and the word size is 8 bits, then _____ bits are needed to access each word.";"C. 24"
"In a positional number system with base b, we can always find the number of digits of an integer. So how many bits can we find in the decimal number 20 in octal system?";"B. 2"
"A group contains _____ bits in the binary system are represented as one digit in the octal system.";"C. 3"
"A group includes _____ bits in the binary system are represented as one digit in the hexadecimal system.";"D. 4"
"In a positional number system with base b, we can always find the number of digits of an integer. So how many digits can we find in the decimal number 20 in octal system?";"B. 2"
"In a positional number system with base b, we can always find the number of digits of an integer. So how many digits can we find in the decimal number 20 in hexadecimal system?";"B. 2"
"A database management system (DBMS) is a combination of _____ components";"D. 5"
"How many bits that we can find in the decimal number 20 in binary system?";"B. 5"
"In two's complement representation with a 4-bit allocation, we get _____ when we add 5 to 5.";"B. -5"
"In the sign-and-magnitude representation, the memory location can hold four bits, assume that we have stored integer -0 in a memory location and we then try to subtract 7 to the integer. The computer's response is ____?";"D. -7"
"Assume memory location that can only hold four bits. What is the result, if we have stored the integer 11 in a memory location and then try to add 9 to the unsigned integer?";"A. 4"
"The ____ is the component that does the arithmetic and logical operations.";"B. ALU"
"The ASCII code for the character J is 74. what is a ASCII code for the character O?";"B. 79"
"We want to have a computer to be able to store any of 500 different symbols. How many bits will be needed?";"B. 9"
"Which of the following memories is volatile?";"A. RAM"
"Assume a new Excess system uses 17 bits to represent the exponent section. What is he bias value in this system?";"C. 65535"
"Which 32-bit microprocessor is used in IBM's PS/2 model-80 computer?";"D. 80486"
"In storing audio, how many samples per second is good enough to reproduce an audio signal?";"D. 8 000"
"The hexadecimal equivalent of (01010111)2 is _____.";"B. 57"
"If the last three bits of the mantissa are 111 (in base 2), what is the error in the number if we use the chopping method?";"A. 7/8"
"If the last three bits of the mantissa are 101 (in base 2), what is the error in the number if we use the chopping method?";"A. 5/8"
"The Boolean expression for a three-input AND gate is _____.";"D. Y=ABC"
"A ____ is a group of eight bits.";"B. byte"
"The number of addresses in a 1024 x 8 memory is _____.";"B. 1024"
"The instruction ____ provides the means for branching to a different part of the program.";"C. JUMP"
"The operation that inverts the value of a bit is the ____ operation.";"C. NOT"
"If we are adding two numbers, one of which has a sign bit of 0 and the other has a sign bit of 1, ____ can happen.";"D. neither overflow nor underflow"
"The ____ operation is true if and only if both inputs are true.";"A. AND"
"The ____ operation is true if and only if both inputs are different.";"D. XOR"
