"The ____ model is the basis for today's computers.","a. Leibnitz<br>b. von Neumann<br>c. Pascal<br>d. Charles Babbage<br><br><b>Correct Answer: B</b>"
"In a computer, the ____ subsystem stores data and programs.","a. ALU<br>b. input/output<br>c. memory<br>d. control unit<br><br><b>Correct Answer: C</b>"
"In a computer, the ____ subsystem performs calculations and logical opera-tions.","a. ALU<br>b. input/output<br>c. memory<br>d. control unit<br><br><b>Correct Answer: A</b>"
"In a computer, the ____ subsystem accepts data and programs and sends pro-cessing results to output devices.","a. ALU<br>b. input/output<br>c. memory<br>d. control unit<br><br><b>Correct Answer: B</b>"
"In a computer, the ____ subsystem serves as a manager of the other subsys-tems.","a. ALU<br>b. input/output<br>c. memory<br>d. control unit<br><br><b>Correct Answer: D</b>"
"According to the von Neumann model, ____ are stored in memory.","a. only data<br>b. only programs<br>c. data and programs<br>d. neither data nor programs<br><br><b>Correct Answer: C</b>"
"A step-by-step solution to a problem is called ____.","a. hardware<br>b. an operating system<br>c. a computer language<br>d. an algorithm<br><br><b>Correct Answer: D</b>"
"FORTRAN and COBOL are examples of ____.","a. hardware<br>b. operating systems<br>c. computer languages<br>d. algorithms<br><br><b>Correct Answer: C</b>"
"A 17th-century computing machine that could perform addition and subtraction was the ____.","a. Pascaline<br>b. Jacquard loom<br>c. Analytical Engine<br>d. Babbage machine<br><br><b>Correct Answer: A</b>"
"____ is a set of instructions in a computer language that tells the computer what to do with data.","a. An operating system<br>b. An algorithm<br>c. A data processor<br>d. A program<br><br><b>Correct Answer: D</b>"
"____ is the design and writing of a program in structured form.","a. Software engineering<br>b. Hardware engineering<br>c. Algorithm development<br>d. Instructional architecture<br><br><b>Correct Answer: A</b>"
"The first electronic special-purpose computer was called ____.","a. Pascal<br>b. Pascaline<br>c. ABC<br>d. ENIAC<br><br><b>Correct Answer: C</b>"
"One of the first computers based on the von Neumann model was called ____.","a. Pascal<br>b. Pascaline<br>c. ABC<br>d. EDVAC<br><br><b>Correct Answer: D</b>"
"The first computing machine to use the idea of storage and programming was called ____.","a. the Madeline<br>b. EDVAC<br>c. the Babbage machine<br>d. the Jacquard loom<br><br><b>Correct Answer: D</b>"
"____ separated the programming task from computer operation tasks.","a. Algorithms<br>b. Data processors<br>c. High-level programming languages<br>d. Operating systems<br><br><b>Correct Answer: C</b>"
"The base of the decimal number system is ____.","a) 2<br>b) 8<br>c) 10<br>d) 16<br><br><b>Correct Answer: C</b>"
"The base of the binary number system is ____.","a) 2<br>b) 8<br>c) 10<br>d) 16<br><br><b>Correct Answer: A</b>"
"The base of the octal number system is ____.","a) 2<br>b) 8<br>c) 10<br>d) 16<br><br><b>Correct Answer: B</b>"
"The base of the hexadecimal number system is ____.","a) 2<br>b) 8<br>c) 10<br>d) 16<br><br><b>Correct Answer: D</b>"
"When converting a decimal integer to base b, we repeatedly ____ b.","a) divide<br>b) multiply<br>c) add to<br>d) subtract from<br><br><b>Correct Answer: A</b>"
"When converting a binary fraction to decimal, we repeatedly ____.","a) divide<br>b) multiply<br>c) add to<br>d) subtract from<br><br><b>Correct Answer: B</b>"
"Which of the following representations is erroneous? (7)","a) (10111)2<br>b) (349)8<br>c) (3AB)16<br>d) 256<br><br><b>Correct Answer: B</b>"
"Which of the following representations is erroneous? (8)","a) (10211)2<br>b) (342)8<br>c) (EEE)16<br>d) 145<br><br><b>Correct Answer: A</b>"
"Which of the following representations is erroneous? (9)","a) (111)2<br>b) (346)8<br>c) (EEG)16<br>d) 221<br><br><b>Correct Answer: C</b>"
"Which of the following representations is erroneous? (10)","a) (110)2<br>b) (141)8<br>c) (EF)16<br>d) 22A<br><br><b>Correct Answer: D</b>"
"Which of the following is equivalent to 12 in decimal?","a) (1110)2<br>b) (C)16<br>c) (15)8<br>d) None of the others<br><br><b>Correct Answer: B</b>"
"Which of the following is equivalent to 24 in decimal?","a) (11000)2<br>b) (1A)16<br>c) (31)8<br>d) None of the others<br><br><b>Correct Answer: A</b>"
"Convert the binary number 1001 to decimal. The answer is:","a) 7<br>b) 9<br>c) 11<br>d) 15<br><br><b>Correct Answer: B</b>"
"Convert the binary number 101010 to hexadecimal:","a) 1A<br>b) 1B<br>c) 2A<br>d) 2B<br><br><b>Correct Answer: C</b>"
"Convert the hexadecimal number 1B to decimal:","a) 21<br>b) 23<br>c) 27<br>d) 29<br><br><b>Correct Answer: C</b>"
"A byte consists of ____ bits.","a. 2<br>b. 4<br>c. 8<br>d. 16<br><br><b>Correct Answer: C</b>"
"In a set of 64 symbols, each symbol requires a bit pattern length of ____ bits.","a. 4<br>b. 5<br>c. 6<br>d. 7<br><br><b>Correct Answer: C</b>"
"How many symbols can be represented by a bit pattern with ten bits?","a. 128<br>b. 256<br>c. 512<br>d. 1024<br><br><b>Correct Answer: D</b>"
"If the ASCII code for E is 1000101, then the ASCII code for e is ____. An-swer the question without consulting the ASCII table.","a. 1000110<br>b. 1000111<br>c. 0000110<br>d. 1100101<br><br><b>Correct Answer: D</b>"
"A 32-bit code called ____ represents symbols in all languages.","a. ANSI<br>b. Unicode<br>c. EBCDIC<br>d. Extended ASCII<br><br><b>Correct Answer: B</b>"
"An image can be represented in a computer using the ____ method.","a. bitmap graphic<br>b. vector graphic<br>c. only<br>d. either bitmap or vector graphic<br><br><b>Correct Answer: D</b>"
"In the ____ graphic method of representing an image in a computer, each pixel is assigned a bit patterns.","a. bitmap<br>b. vector<br>c. quantized<br>d. binary<br><br><b>Correct Answer: A</b>"
"In the ____ graphic method of representing an image in a computer, the image is decomposed into a combination of geometrical figures.","a. bitmap<br>b. vector<br>c. quantized<br><br><b>Correct Answer: B</b>"
"In the ____ graphic method of representing an image in a computer, re-scaling of the image creates a ragged or grainy image.","a. bitmap<br>b. vector<br>c. quantized<br>d. binary<br><br><b>Correct Answer: A</b>"
"Assume a new Excess system uses 17 bits to represent the exponent section. What is he bias value in this system?","a. 17<br>b. 16<br>c. 65535<br>d. 65536<br><br><b>Correct Answer: C</b>"
"Which number representation method is often used to store the exponential value of a fractional part?","a. unsigned integers<br>b. two's complement<br>c. Excess<br>d. ten's complement<br><br><b>Correct Answer: C</b>"
"In an Excess conversion, we ____ the number to be converted.","a. add the bias number to<br>b. the bias number from<br>c. multiply the bias number by<br>d. divide<br><br><b>Correct Answer: A</b>"
"When a fractional part is normalized, the computer stores the ____.","a. only the sign<br>b. only the exponent<br>c. only the mantissa<br>d. the sign, exponent, and mantissa<br><br><b>Correct Answer: D</b>"
"The precision of the fractional part of a number stored in a computer is defined by the ____.","a. sign<br>b. exponent<br>c. mantissa<br>d. last digit<br><br><b>Correct Answer: C</b>"
"The combination of sign and mantissa of a real number in IEEE standard float-ing point format is stored as an integer in the ____ representation.","a. unsigned<br>b. sign-and-magnitude<br>c. two's complement<br>d. one's complement<br><br><b>Correct Answer: B</b>"
"1. ____ is an arithmetic operation.","a. The exclusive OR<br>b. The unary NOT<br>c. Subtraction<br>d. The binary AND<br><br><b>Correct Answer: C</b>"
"2. ____ is a logical bit operator.","a. The exclusive OR<br>b. The unary NOT<br>c. The binary AND<br>d. exclusive OR, unary NOT, or binary AND<br><br><b>Correct Answer: D</b>"
"3. The ____ method of integer representation is the most common method for storing integers in computer memory.","a. sign-and-magnitude<br>b. one's complement<br>c. two's complement<br>d. unsigned integers<br><br><b>Correct Answer: C</b>"
"4. In two's complement addition, if there is a final carry after the left most column addition, ____.","a. add it to the right most column<br>b. add it to the left most column<br>c. discard it<br>d. increase the bit length<br><br><b>Correct Answer: C</b>"
"5. For an 8-bit allocation, the smallest decimal number that can be represented in two's complement form is ____.","a. -8<br>b. -127<br>c. -128<br>d. -256<br><br><b>Correct Answer: C</b>"
"6. For an 8-bit allocation, the largest decimal number that can be represented in two's complement form is ____.","a. 8<br>b. 127<br>c. 128<br>d. 256<br><br><b>Correct Answer: B</b>"
"7. In two's complement representation with a 4-bit allocation, we get ____ when we add 1 to 7.","a. 8<br>b. 1<br>c. -7<br>d. -8<br><br><b>Correct Answer: D</b>"
"8. In two's complement representation with a 4-bit allocation, we get ____ when we add 5 to 5.","a. -5<br>b. -6<br>c. -7<br>d. 10<br><br><b>Correct Answer: B</b>"
"9. If the exponent in Excess_127 is binary 10000101, the exponent in decimal is ____.","a. 6<br>b. 7<br>c. 8<br>d. 9<br><br><b>Correct Answer: A</b>"
"10. If we are adding two numbers, one of which has an exponent value of 7 and the other an exponent value of 9, we need to shift the decimal point of the smaller number ____.","a. one place to the left<br>b. one place to the right<br>c. two places to the left<br>d. two places to the right<br><br><b>Correct Answer: C</b>"
"11. ____ operator (s) takes two inputs to produce one output.","a. Only AND<br>b. Only OR<br>c. Only XOR<br>d. AND, OR, or XOR<br><br><b>Correct Answer: D</b>"
"12. The unary ____ operator inverts its single input.","a. AND<br>b. OR<br>c. NOT<br>d. XOR<br><br><b>Correct Answer: C</b>"
"13. ____ operator (s), if the input is two 0s, the output is 0.","a. In only AND<br>b. In only OR<br>c. In only XOR<br>d. In AND, OR, or XOR<br><br><b>Correct Answer: D</b>"
"14. ____ operator (s), if the input is two 1s, the output is 0.","a. In only AND<br>b. In only OR<br>c. In only XOR<br>d. In AND, OR, or XOR<br><br><b>Correct Answer: C</b>"
"15. For the binary AND operation, only an input of ____ gives an output of 1.","a. two 0s<br>b. two 1s<br>c. one 0 and one 1<br>d. two 2s<br><br><b>Correct Answer: B</b>"
"16. For the binary OR operation, only an input of ____ gives an output of 0.","a. two 0s<br>b. two 1s<br>c. one 0 and one 1<br>d. two 2s<br><br><b>Correct Answer: A</b>"
"17. We use a bit pattern called a ____ to modify another bit pattern.","a. mask<br>b. carry<br>c. float<br>d. byte<br><br><b>Correct Answer: A</b>"
"18. To flip all the bits of a bit pattern, make a mask of all 1s and then ____ the bit pattern and the mask.","a. AND<br>b. OR<br>c. XOR<br>d. NOT<br><br><b>Correct Answer: C</b>"
"19. To un-set (force to 0) all the bits of a bit pattern, make a mask of all 0s and then ____ the bit pattern and the mask.","a. AND<br>b. OR<br>c. XOR<br>d. NOT<br><br><b>Correct Answer: A</b>"
"20. To set (force to 1) all the bits of a bit pattern, make a mask of all 1s and then ____ the bit pattern and the mask.","a. AND<br>b. OR<br>c. XOR<br>d. NOT<br><br><b>Correct Answer: B</b>"
"1. The TCP/IP model has ____ layers.","a. five<br>b. six<br>c. seven<br>d. eight<br><br><b>Correct Answer: A</b>"
"2. The ____ layer of the TCP/IP protocol suite provides services for end users.","a. data-link<br>b. transport<br>c. application<br>d. physical<br><br><b>Correct Answer: C</b>"
"3. The ____ layer of the TCP/IP protocol suite transmits a bit stream over a physical medium.","a. physical<br>b. data-link<br>c. network<br>d. transport<br><br><b>Correct Answer: A</b>"
"4. The ____ layer of the TCP/IP protocol suite is responsible for node-to-node delivery of a frame between two adjacent nodes.","a. transport<br>b. network<br>c. data-link<br>d. session<br><br><b>Correct Answer: C</b>"
